"","X","City","Year","Sport","Discipline","Event","Athlete","Gender","Country_Code","Country","Event_gender","Medal"
"28",28,"Montreal",1976,"Aquatics","Swimming","100m backstroke","MATTHES, Roland","Men","GDR","East Germany","M","Bronze"
"29",29,"Montreal",1976,"Aquatics","Swimming","100m backstroke","NABER, John Phillips","Men","USA","United States","M","Gold"
"30",30,"Montreal",1976,"Aquatics","Swimming","100m backstroke","ROCCA, Peter Drake","Men","USA","United States","M","Silver"
"31",31,"Montreal",1976,"Aquatics","Swimming","4x100m medley relay","KRAUS, Michael","Men","FRG","West Germany","M","Bronze"
"32",32,"Montreal",1976,"Aquatics","Swimming","200m freestyle","BRIGITHA, Enith","Women","NED","Netherlands","W","Bronze"
"33",33,"Montreal",1976,"Aquatics","Swimming","4x200m freestyle relay","DUNNE, David Michael","Men","GBR","United Kingdom","M","Bronze"
"34",34,"Montreal",1976,"Aquatics","Swimming","4x200m freestyle relay","NABER, John Phillips","Men","USA","United States","M","Gold"
"35",35,"Montreal",1976,"Aquatics","Swimming","4x100m freestyle relay","HEMPEL, Claudia","Women","GDR","East Germany","W","Silver"
"36",36,"Montreal",1976,"Aquatics","Swimming","4x100m medley relay","MAC DONALD, Gary","Men","CAN","Canada","M","Silver"
"37",37,"Montreal",1976,"Aquatics","Swimming","4x200m freestyle relay","BOGDANOV, Andrei","Men","URS","Soviet Union","M","Silver"
"38",38,"Montreal",1976,"Aquatics","Swimming","100m butterfly","HALL, Gary Wayne","Men","USA","United States","M","Bronze"
"39",39,"Montreal",1976,"Aquatics","Swimming","400m individual medley","SMITH, Rebecca","Women","CAN","Canada","W","Bronze"
"40",40,"Montreal",1976,"Aquatics","Swimming","200m breaststroke","KOSHEVAYA, Marina","Women","URS","Soviet Union","W","Gold"
"41",41,"Montreal",1976,"Aquatics","Swimming","200m backstroke","GARAPICK, Nancy Ellen","Women","CAN","Canada","W","Bronze"
"42",42,"Montreal",1976,"Aquatics","Swimming","800m freestyle","WEINBERG, Wendy Elizabeth","Women","USA","United States","W","Bronze"
"43",43,"Montreal",1976,"Aquatics","Swimming","4x200m freestyle relay","MONTGOMERY, James Paul","Men","USA","United States","M","Gold"
"44",44,"Montreal",1976,"Aquatics","Swimming","4x200m freestyle relay","RASKATOV, Vladimir","Men","URS","Soviet Union","M","Silver"
"45",45,"Montreal",1976,"Aquatics","Swimming","4x100m medley relay","ENDER, Kornelia","Women","GDR","East Germany","W","Gold"
"46",46,"Montreal",1976,"Aquatics","Swimming","4x100m medley relay","JARDIN, Anne Elizabeth","Women","CAN","Canada","W","Bronze"
"47",47,"Montreal",1976,"Aquatics","Swimming","100m breaststroke","YOZAITIS, Arvidas","Men","URS","Soviet Union","M","Bronze"
"48",48,"Montreal",1976,"Aquatics","Swimming","4x100m medley relay","WRIGHT, Camille","Women","USA","United States","W","Silver"
"49",49,"Montreal",1976,"Aquatics","Swimming","4x200m freestyle relay","KRYLOV, Andrei","Men","URS","Soviet Union","M","Silver"
"50",50,"Montreal",1976,"Aquatics","Swimming","4x200m freestyle relay","DOWNIE, Gordon Hunter","Men","GBR","United Kingdom","M","Bronze"
"51",51,"Montreal",1976,"Aquatics","Swimming","200m breaststroke","WILKIE, David Andrew","Men","GBR","United Kingdom","M","Gold"
"52",52,"Montreal",1976,"Aquatics","Swimming","4x100m freestyle relay","PEYTON, Kim Marie","Women","USA","United States","W","Gold"
"53",53,"Montreal",1976,"Aquatics","Swimming","4x100m medley relay","MONTGOMERY, James Paul","Men","USA","United States","M","Gold"
"54",54,"Montreal",1976,"Aquatics","Swimming","200m butterfly","TAUBER, Ulrike","Women","GDR","East Germany","W","Silver"
"55",55,"Montreal",1976,"Aquatics","Swimming","4x100m freestyle relay","CLARK, Barbara Lynny","Women","CAN","Canada","W","Bronze"
"56",56,"Montreal",1976,"Aquatics","Swimming","4x100m freestyle relay","AMUNDRUD, Gail","Women","CAN","Canada","W","Bronze"
"57",57,"Montreal",1976,"Aquatics","Swimming","100m butterfly","ENDER, Kornelia","Women","GDR","East Germany","W","Gold"
"58",58,"Montreal",1976,"Aquatics","Swimming","200m butterfly","BRUNER, Michael Lee","Men","USA","United States","M","Gold"
"59",59,"Montreal",1976,"Aquatics","Swimming","400m individual medley","GIBSON, Cheryl","Women","CAN","Canada","W","Silver"
"60",60,"Montreal",1976,"Aquatics","Swimming","200m backstroke","NABER, John Phillips","Men","USA","United States","M","Gold"
"61",61,"Montreal",1976,"Aquatics","Swimming","200m freestyle","ENDER, Kornelia","Women","GDR","East Germany","W","Gold"
"62",62,"Montreal",1976,"Aquatics","Swimming","100m butterfly","BOGLIOLI, Wendy Lansbach","Women","USA","United States","W","Bronze"
"63",63,"Montreal",1976,"Aquatics","Swimming","4x100m medley relay","SMITH, Graham","Men","CAN","Canada","M","Silver"
"64",64,"Montreal",1976,"Aquatics","Swimming","4x100m medley relay","VOGEL, Matthew Haynes","Men","USA","United States","M","Gold"
"65",65,"Montreal",1976,"Aquatics","Swimming","4x100m medley relay","SMITH-SLOAN, Susan Estelle","Women","CAN","Canada","W","Bronze"
"66",66,"Montreal",1976,"Aquatics","Swimming","4x100m medley relay","COOK-HOGG, Wendy","Women","CAN","Canada","W","Bronze"
"67",67,"Montreal",1976,"Aquatics","Swimming","100m butterfly","POLLACK, Andrea","Women","GDR","East Germany","W","Silver"
"68",68,"Montreal",1976,"Aquatics","Swimming","100m butterfly","BOTTOM, Joseph Stuart","Men","USA","United States","M","Silver"
"69",69,"Montreal",1976,"Aquatics","Swimming","400m freestyle","THÜMER, Petra","Women","GDR","East Germany","W","Gold"
"70",70,"Montreal",1976,"Aquatics","Swimming","4x100m medley relay","RICHTER, Ulrike","Women","GDR","East Germany","W","Gold"
"71",71,"Montreal",1976,"Aquatics","Swimming","200m freestyle","FURNISS, Bruce Macfarlane","Men","USA","United States","M","Gold"
"72",72,"Montreal",1976,"Aquatics","Swimming","100m breaststroke","KOSHEVAYA, Marina","Women","URS","Soviet Union","W","Bronze"
"73",73,"Montreal",1976,"Aquatics","Swimming","200m butterfly","GREGG, Steven Garrett","Men","USA","United States","M","Silver"
"74",74,"Montreal",1976,"Aquatics","Swimming","4x100m freestyle relay","ENDER, Kornelia","Women","GDR","East Germany","W","Silver"
"75",75,"Montreal",1976,"Aquatics","Swimming","4x200m freestyle relay","MCCLATCHEY, Alan","Men","GBR","United Kingdom","M","Bronze"
"76",76,"Montreal",1976,"Aquatics","Swimming","100m breaststroke","RUSANOVA, Lyubov","Women","URS","Soviet Union","W","Silver"
"77",77,"Montreal",1976,"Aquatics","Swimming","400m individual medley","STRACHAN, Rodney","Men","USA","United States","M","Gold"
"78",78,"Montreal",1976,"Aquatics","Swimming","400m freestyle","RASKATOV, Vladimir","Men","URS","Soviet Union","M","Bronze"
"79",79,"Montreal",1976,"Aquatics","Swimming","400m individual medley","TAUBER, Ulrike","Women","GDR","East Germany","W","Gold"
"80",80,"Montreal",1976,"Aquatics","Swimming","1500m freestyle","GOODELL, Brian Stuart","Men","USA","United States","M","Gold"
"81",81,"Montreal",1976,"Aquatics","Swimming","4x100m medley relay","PICKELL, Stephen","Men","CAN","Canada","M","Silver"
"82",82,"Montreal",1976,"Aquatics","Swimming","200m backstroke","HARRIGAN, Daniel Lee","Men","USA","United States","M","Bronze"
"83",83,"Montreal",1976,"Aquatics","Swimming","200m butterfly","KOTHER-GABRIEL, Rosemarie","Women","GDR","East Germany","W","Bronze"
"84",84,"Montreal",1976,"Aquatics","Swimming","4x100m freestyle relay","POLLACK, Andrea","Women","GDR","East Germany","W","Silver"
"85",85,"Montreal",1976,"Aquatics","Swimming","100m freestyle","MONTGOMERY, James Paul","Men","USA","United States","M","Gold"
"86",86,"Montreal",1976,"Aquatics","Swimming","200m breaststroke","YURCHENYA, Marina","Women","URS","Soviet Union","W","Silver"
"87",87,"Montreal",1976,"Aquatics","Swimming","200m backstroke","TREIBER, Birgit","Women","GDR","East Germany","W","Silver"
"88",88,"Montreal",1976,"Aquatics","Swimming","200m breaststroke","RUSANOVA, Lyubov","Women","URS","Soviet Union","W","Bronze"
"89",89,"Montreal",1976,"Aquatics","Swimming","4x100m freestyle relay","BOGLIOLI, Wendy Lansbach","Women","USA","United States","W","Gold"
"90",90,"Montreal",1976,"Aquatics","Swimming","4x200m freestyle relay","BRUNER, Michael Lee","Men","USA","United States","M","Gold"
"91",91,"Montreal",1976,"Aquatics","Swimming","4x100m medley relay","BABASHOFF, Shirley Farber","Women","USA","United States","W","Silver"
"92",92,"Montreal",1976,"Aquatics","Swimming","100m backstroke","TREIBER, Birgit","Women","GDR","East Germany","W","Silver"
"93",93,"Montreal",1976,"Aquatics","Swimming","200m breaststroke","HENCKEN, John Frederick","Men","USA","United States","M","Silver"
"94",94,"Montreal",1976,"Aquatics","Swimming","100m freestyle","BABASHOFF, Jack, Jr.","Men","USA","United States","M","Silver"
"95",95,"Montreal",1976,"Aquatics","Swimming","200m butterfly","POLLACK, Andrea","Women","GDR","East Germany","W","Gold"
"96",96,"Montreal",1976,"Aquatics","Swimming","100m freestyle","BRIGITHA, Enith","Women","NED","Netherlands","W","Bronze"
"97",97,"Montreal",1976,"Aquatics","Swimming","4x100m medley relay","SIERING, Laura Gail","Women","USA","United States","W","Silver"
"98",98,"Montreal",1976,"Aquatics","Swimming","400m freestyle","BABASHOFF, Shirley Farber","Women","USA","United States","W","Silver"
"99",99,"Montreal",1976,"Aquatics","Swimming","4x200m freestyle relay","KOPLYAKOV, Sergei","Men","URS","Soviet Union","M","Silver"
"100",100,"Montreal",1976,"Aquatics","Swimming","200m breaststroke","COLELLA, Richard Phillip Jr.","Men","USA","United States","M","Bronze"
"101",101,"Montreal",1976,"Aquatics","Swimming","4x100m medley relay","NABER, John Phillips","Men","USA","United States","M","Gold"
"102",102,"Montreal",1976,"Aquatics","Swimming","200m freestyle","BABASHOFF, Shirley Farber","Women","USA","United States","W","Silver"
"103",103,"Montreal",1976,"Aquatics","Swimming","100m backstroke","GARAPICK, Nancy Ellen","Women","CAN","Canada","W","Bronze"
"104",104,"Montreal",1976,"Aquatics","Swimming","4x100m medley relay","STEINBACH, Klaus","Men","FRG","West Germany","M","Bronze"
"105",105,"Montreal",1976,"Aquatics","Swimming","4x100m freestyle relay","STERKEL, Gillian Ann","Women","USA","United States","W","Gold"
"106",106,"Montreal",1976,"Aquatics","Swimming","100m freestyle","NOCKE, Peter","Men","FRG","West Germany","M","Bronze"
"107",107,"Montreal",1976,"Aquatics","Swimming","200m butterfly","FORRESTER, William Ronald, Jr.","Men","USA","United States","M","Bronze"
"108",108,"Montreal",1976,"Aquatics","Swimming","4x100m medley relay","NOCKE, Peter","Men","FRG","West Germany","M","Bronze"
"109",109,"Montreal",1976,"Aquatics","Swimming","4x100m medley relay","HENCKEN, John Frederick","Men","USA","United States","M","Gold"
"110",110,"Montreal",1976,"Aquatics","Swimming","100m breaststroke","ANKE, Hannelore","Women","GDR","East Germany","W","Gold"
"111",111,"Montreal",1976,"Aquatics","Swimming","4x100m medley relay","POLLACK, Andrea","Women","GDR","East Germany","W","Gold"
"112",112,"Montreal",1976,"Aquatics","Swimming","4x100m medley relay","KUSCH, Walter","Men","FRG","West Germany","M","Bronze"
"113",113,"Montreal",1976,"Aquatics","Swimming","400m freestyle","SMITH, Shannon","Women","CAN","Canada","W","Bronze"
"114",114,"Montreal",1976,"Aquatics","Swimming","4x100m medley relay","CORSIGLIA, Robin Marie","Women","CAN","Canada","W","Bronze"
"115",115,"Montreal",1976,"Aquatics","Swimming","100m backstroke","RICHTER, Ulrike","Women","GDR","East Germany","W","Gold"
"116",116,"Montreal",1976,"Aquatics","Swimming","1500m freestyle","HACKETT, Robert William","Men","USA","United States","M","Silver"
"117",117,"Montreal",1976,"Aquatics","Swimming","100m breaststroke","WILKIE, David Andrew","Men","GBR","United Kingdom","M","Silver"
"118",118,"Montreal",1976,"Aquatics","Swimming","4x200m freestyle relay","BRINKLEY, Brian","Men","GBR","United Kingdom","M","Bronze"
"119",119,"Montreal",1976,"Aquatics","Swimming","100m breaststroke","HENCKEN, John Frederick","Men","USA","United States","M","Gold"
"120",120,"Montreal",1976,"Aquatics","Swimming","200m freestyle","NABER, John Phillips","Men","USA","United States","M","Silver"
"121",121,"Montreal",1976,"Aquatics","Swimming","4x200m freestyle relay","FURNISS, Bruce Macfarlane","Men","USA","United States","M","Gold"
"122",122,"Montreal",1976,"Aquatics","Swimming","4x100m medley relay","JEZEK, Linda Louise","Women","USA","United States","W","Silver"
"123",123,"Montreal",1976,"Aquatics","Swimming","100m freestyle","PRIEMER, Petra","Women","GDR","East Germany","W","Silver"
"124",124,"Montreal",1976,"Aquatics","Swimming","4x100m freestyle relay","JARDIN, Anne Elizabeth","Women","CAN","Canada","W","Bronze"
"125",125,"Montreal",1976,"Aquatics","Swimming","200m backstroke","RICHTER, Ulrike","Women","GDR","East Germany","W","Gold"
"126",126,"Montreal",1976,"Aquatics","Swimming","100m freestyle","ENDER, Kornelia","Women","GDR","East Germany","W","Gold"
"127",127,"Montreal",1976,"Aquatics","Water polo","water polo","DE ZWARTE, Pieter","Men","NED","Netherlands","M","Bronze"
"128",128,"Montreal",1976,"Aquatics","Water polo","water polo","VEER, Jan Evert","Men","NED","Netherlands","M","Bronze"
"129",129,"Montreal",1976,"Aquatics","Water polo","water polo","KROON, Evert Gerrit","Men","NED","Netherlands","M","Bronze"
"130",130,"Montreal",1976,"Aquatics","Water polo","water polo","HORKAI, Gyorgy","Men","HUN","Hungary","M","Gold"
"131",131,"Montreal",1976,"Aquatics","Water polo","water polo","CASTAGNOLA, Luigi","Men","ITA","Italy","M","Silver"
"132",132,"Montreal",1976,"Aquatics","Water polo","water polo","SMITS, Hans","Men","NED","Netherlands","M","Bronze"
"133",133,"Montreal",1976,"Aquatics","Water polo","water polo","STROBOER, Gijsbert (Gijs)","Men","NED","Netherlands","M","Bronze"
"134",134,"Montreal",1976,"Aquatics","Water polo","water polo","CSAPO, Gabor","Men","HUN","Hungary","M","Gold"
"135",135,"Montreal",1976,"Aquatics","Water polo","water polo","CSERVENYAK, Tibor","Men","HUN","Hungary","M","Gold"
"136",136,"Montreal",1976,"Aquatics","Water polo","water polo","GERENDAS, Gyorgy","Men","HUN","Hungary","M","Gold"
"137",137,"Montreal",1976,"Aquatics","Water polo","water polo","BUUNK, Antoon G.J.","Men","NED","Netherlands","M","Bronze"
"138",138,"Montreal",1976,"Aquatics","Water polo","water polo","SUDAR, Attila","Men","HUN","Hungary","M","Gold"
"139",139,"Montreal",1976,"Aquatics","Water polo","water polo","KENEZ, Gyorgy","Men","HUN","Hungary","M","Gold"
"140",140,"Montreal",1976,"Aquatics","Water polo","water polo","MOLNAR, Endre","Men","HUN","Hungary","M","Gold"
"141",141,"Montreal",1976,"Aquatics","Water polo","water polo","BOEGSCHOTEN, Alexander","Men","NED","Netherlands","M","Bronze"
"142",142,"Montreal",1976,"Aquatics","Water polo","water polo","SAROSI, Laszlo","Men","HUN","Hungary","M","Gold"
"143",143,"Montreal",1976,"Aquatics","Water polo","water polo","DEL DUCA, Marcello","Men","ITA","Italy","M","Silver"
"144",144,"Montreal",1976,"Aquatics","Water polo","water polo","SIMEONI, Roldano","Men","ITA","Italy","M","Silver"
"145",145,"Montreal",1976,"Aquatics","Water polo","water polo","ALBERANI SAMARITANI, Alberto","Men","ITA","Italy","M","Silver"
"146",146,"Montreal",1976,"Aquatics","Water polo","water polo","BARACCHINI, Silvio","Men","ITA","Italy","M","Silver"
"147",147,"Montreal",1976,"Aquatics","Water polo","water polo","PANERAI, Umberto","Men","ITA","Italy","M","Silver"
"148",148,"Montreal",1976,"Aquatics","Water polo","water polo","MARSILI, Sante","Men","ITA","Italy","M","Silver"
"149",149,"Montreal",1976,"Aquatics","Water polo","water polo","DE MAGISTRIS, Gianni","Men","ITA","Italy","M","Silver"
"150",150,"Montreal",1976,"Aquatics","Water polo","water polo","KONRAD, Ferenc","Men","HUN","Hungary","M","Gold"
"151",151,"Montreal",1976,"Aquatics","Water polo","water polo","TOONEN, Hendrik (Rik)","Men","NED","Netherlands","M","Bronze"
"152",152,"Montreal",1976,"Aquatics","Water polo","water polo","DE MAGISTRIS, Riccardo","Men","ITA","Italy","M","Silver"
"153",153,"Montreal",1976,"Aquatics","Water polo","water polo","SZIVOS, Istvan","Men","HUN","Hungary","M","Gold"
"154",154,"Montreal",1976,"Aquatics","Water polo","water polo","LANDEWEERD, Nicolaas","Men","NED","Netherlands","M","Bronze"
"155",155,"Montreal",1976,"Aquatics","Water polo","water polo","FARAGO, Tamas","Men","HUN","Hungary","M","Gold"
"156",156,"Montreal",1976,"Aquatics","Water polo","water polo","HOEPELMAN, Andries","Men","NED","Netherlands","M","Bronze"
"157",157,"Montreal",1976,"Aquatics","Water polo","water polo","GHIBELLINI, Alessandro","Men","ITA","Italy","M","Silver"
"158",158,"Montreal",1976,"Aquatics","Water polo","water polo","D, Vincenzo","Men","ITA","Italy","M","Silver"
"159",159,"Montreal",1976,"Aquatics","Water polo","water polo","VAN ZEELAND, Hans","Men","NED","Netherlands","M","Bronze"
"160",160,"Montreal",1976,"Archery","Archery","individual FITA round","RYON, Luann Marie","Women","USA","United States","W","Gold"
"161",161,"Montreal",1976,"Archery","Archery","individual FITA round","PACE, Darrell Owen","Men","USA","United States","M","Gold"
"162",162,"Montreal",1976,"Archery","Archery","individual FITA round","MICHINAGA, Hiroshi","Men","JPN","Japan","M","Silver"
"163",163,"Montreal",1976,"Archery","Archery","individual FITA round","FERRARI, Giancarlo","Men","ITA","Italy","M","Bronze"
"164",164,"Montreal",1976,"Archery","Archery","individual FITA round","RUSTAMOVA, Zebiniso","Women","URS","Soviet Union","W","Bronze"
"165",165,"Montreal",1976,"Archery","Archery","individual FITA round","KOVPAN, Valentina","Women","URS","Soviet Union","W","Silver"
"166",166,"Montreal",1976,"Athletics","Athletics","4x400m relay","STROPAHL-STREIDT, Ellen","Women","GDR","East Germany","W","Gold"
"167",167,"Montreal",1976,"Athletics","Athletics","4x100m relay","RICHTER-IRRGANG, Annegret","Women","FRG","West Germany","W","Silver"
"168",168,"Montreal",1976,"Athletics","Athletics","long jump","ROBINSON, Arnie","Men","USA","United States","M","Gold"
"169",169,"Montreal",1976,"Athletics","Athletics","4x400m relay","HERRMANN, Bernd","Men","FRG","West Germany","M","Bronze"
"170",170,"Montreal",1976,"Athletics","Athletics","4x400m relay","FRAZIER, Herman Ronald","Men","USA","United States","M","Gold"
"171",171,"Montreal",1976,"Athletics","Athletics","high jump","WITSCHAS-ACKERMANN, Rosemarie","Women","GDR","East Germany","W","Gold"
"172",172,"Montreal",1976,"Athletics","Athletics","100m hurdles","SCHALLER-KLIER, Johanna","Women","GDR","East Germany","W","Gold"
"173",173,"Montreal",1976,"Athletics","Athletics","400m","JUANTORENA, Alberto","Men","CUB","Cuba","M","Gold"
"174",174,"Montreal",1976,"Athletics","Athletics","5000m","HILDENBRAND, Klaus-Peter","Men","FRG","West Germany","M","Bronze"
"175",175,"Montreal",1976,"Athletics","Athletics","100m","STECHER, Renate","Women","GDR","East Germany","W","Silver"
"176",176,"Montreal",1976,"Athletics","Athletics","4x100m relay","RIDDICK, Steven Earl","Men","USA","United States","M","Gold"
"177",177,"Montreal",1976,"Athletics","Athletics","pentathlon","BODNER-LASER, Christine","Women","GDR","East Germany","W","Silver"
"178",178,"Montreal",1976,"Athletics","Athletics","long jump","WARTENBERG, Frank","Men","GDR","East Germany","M","Bronze"
"179",179,"Montreal",1976,"Athletics","Athletics","200m","EVANS, Dwayne Eugene","Men","USA","United States","M","Bronze"
"180",180,"Montreal",1976,"Athletics","Athletics","200m","HAMPTON, Millard Frank Jr.","Men","USA","United States","M","Silver"
"181",181,"Montreal",1976,"Athletics","Athletics","hammer throw","SEDYKH, Yuri","Men","URS","Soviet Union","M","Gold"
"182",182,"Montreal",1976,"Athletics","Athletics","pentathlon","POLLAK, Burglinde","Women","GDR","East Germany","W","Bronze"
"183",183,"Montreal",1976,"Athletics","Athletics","decathlon","AVILOV, Nikolai","Men","URS","Soviet Union","M","Bronze"
"184",184,"Montreal",1976,"Athletics","Athletics","high jump","STONES, Dwight Edwin","Men","USA","United States","M","Bronze"
"185",185,"Montreal",1976,"Athletics","Athletics","800m","WOHLHUTER, Richard Charles","Men","USA","United States","M","Bronze"
"186",186,"Montreal",1976,"Athletics","Athletics","100m hurdles","ANISIMOVA, Tatiana","Women","URS","Soviet Union","W","Silver"
"187",187,"Montreal",1976,"Athletics","Athletics","800m","KAZANKINA, Tatiana","Women","URS","Soviet Union","W","Gold"
"188",188,"Montreal",1976,"Athletics","Athletics","4x400m relay","WERNER, Jan","Men","POL","Poland","M","Silver"
"189",189,"Montreal",1976,"Athletics","Athletics","4x100m relay","THIEME, Alexander","Men","GDR","East Germany","M","Silver"
"190",190,"Montreal",1976,"Athletics","Athletics","200m","STECHER, Renate","Women","GDR","East Germany","W","Bronze"
"191",191,"Montreal",1976,"Athletics","Athletics","shot put","BARYSHNIKOV, Aleksandr","Men","URS","Soviet Union","M","Bronze"
"192",192,"Montreal",1976,"Athletics","Athletics","high jump","JOY, Gregory","Men","CAN","Canada","M","Silver"
"193",193,"Montreal",1976,"Athletics","Athletics","hammer throw","BONDARCHUK, Anatoli","Men","URS","Soviet Union","M","Bronze"
"194",194,"Montreal",1976,"Athletics","Athletics","100m","BORZOV, Valery","Men","URS","Soviet Union","M","Bronze"
"195",195,"Montreal",1976,"Athletics","Athletics","800m","CHTEREVA, Nikolina","Women","BUL","Bulgaria","W","Silver"
"196",196,"Montreal",1976,"Athletics","Athletics","3000m steeplechase","MALINOWSKI, Bronislaw","Men","POL","Poland","M","Silver"
"197",197,"Montreal",1976,"Athletics","Athletics","1500m","HOFFMEISTER, Gunhild","Women","GDR","East Germany","W","Silver"
"198",198,"Montreal",1976,"Athletics","Athletics","4x400m relay","INGRAM, Sheila Rena","Women","USA","United States","W","Silver"
"199",199,"Montreal",1976,"Athletics","Athletics","triple jump","BUTTS, James A.","Men","USA","United States","M","Silver"
"200",200,"Montreal",1976,"Athletics","Athletics","4x400m relay","PARKS, Maxwell Lander","Men","USA","United States","M","Gold"
"201",201,"Montreal",1976,"Athletics","Athletics","4x100m relay","ANISIMOVA, Vera","Women","URS","Soviet Union","W","Bronze"
"202",202,"Montreal",1976,"Athletics","Athletics","discus throw","SCHMIDT, Wolfgang","Men","GDR","East Germany","M","Silver"
"203",203,"Montreal",1976,"Athletics","Athletics","javelin throw","SCHMIDT, Kathryn Joan","Women","USA","United States","W","Bronze"
"204",204,"Montreal",1976,"Athletics","Athletics","4x400m relay","BRYANT, Rosalyn Evette","Women","USA","United States","W","Silver"
"205",205,"Montreal",1976,"Athletics","Athletics","4x100m relay","OELSNER-GÖHR, Marlies","Women","GDR","East Germany","W","Gold"
"206",206,"Montreal",1976,"Athletics","Athletics","1500m","WELLMANN, Paul-Heinz","Men","FRG","West Germany","M","Bronze"
"207",207,"Montreal",1976,"Athletics","Athletics","discus throw","POWELL, John Gates","Men","USA","United States","M","Bronze"
"208",208,"Montreal",1976,"Athletics","Athletics","4x100m relay","BESFAMILNAYA, Nadezhda","Women","URS","Soviet Union","W","Bronze"
"209",209,"Montreal",1976,"Athletics","Athletics","4x400m relay","PODLAS, Ryszard","Men","POL","Poland","M","Silver"
"210",210,"Montreal",1976,"Athletics","Athletics","4x100m relay","KOLESNIKOV, Nikolai","Men","URS","Soviet Union","M","Bronze"
"211",211,"Montreal",1976,"Athletics","Athletics","1500m","WALKER, John","Men","NZL","New Zealand","M","Gold"
"212",212,"Montreal",1976,"Athletics","Athletics","800m","ZINN, Elfi","Women","GDR","East Germany","W","Bronze"
"213",213,"Montreal",1976,"Athletics","Athletics","1500m","KAZANKINA, Tatiana","Women","URS","Soviet Union","W","Gold"
"214",214,"Montreal",1976,"Athletics","Athletics","marathon","CIERPINSKI, Waldemar","Men","GDR","East Germany","M","Gold"
"215",215,"Montreal",1976,"Athletics","Athletics","4x400m relay","KRIEG, Lothar","Men","FRG","West Germany","M","Bronze"
"216",216,"Montreal",1976,"Athletics","Athletics","4x100m relay","BODENDORF, Carla","Women","GDR","East Germany","W","Gold"
